Drug,Drug Type,Condition,Date,Sales,Cases,Region,Price,Stock Availability,Sentiment,Review
Azithromycin,Antibiotic (Macrolide),Bronchitis,25-02-2024,350,2000,"Wayanad, Kerala",26,Low,Neutral,"""I was prescribed and took the Azithromycin pack (Z Pack) when I came down with an acute case of Bronchitis. It was the traditional 2 pills at the first dose, and then 1 pill each following day. I started to feel a noticeable improvement by day 3, and was nearly completely better 7-8 days later. The medicine definitely worked for me, however, the side effects were strongly unpleasant. I had severe stomach pains, along with diarrhea, even when I did take the pills with food. Since the pills work for 10 days, i had the side effects for that long too. Overall though, I happy I took the Z pack and it helped cure me quickly."""
Doxycycline,Antibiotic,Bacterial Infection,25-02-2024,350,2000,"Wayanad, Kerala",21,Low,Neutral,"""I was prescribed doxycycline because of an allergy to penicillins. I did have a headache from this. My infection is better, I had some crusting sores that had not been healing, but they are now better. Also, a couple of sore teeth are no longer sore. I read up on how to take it as I wanted it to work?be sure not to eat for 2 hours before or an hour after for best absorption. Drink 8 oz of water with it, this does help to wash it down and with any stomach issues afterward. Don't lie down for at least 30 minutes after, preferably for up to an hour after, as it can cause esophageal irritation if you lie down. If you take any supplements containing calcium or magnesium, take those several hours after your last dose of doxycycline as they interfere with it. If you feel a little queasy after taking it, drink more water and wait a bit before trying food as a remedy."""
chlorine dioxide.,Nutritional Formula,Moderate Acute Malnutrition (MAM),25-02-2024,390,2000,"Wayanad, Kerala",28,Low,Not-Effective,"""The FDA has zero credibility since they lied throughout the entire covid crisis along with the CDC and WHO. This tells me that they are not concerned about their reputation in the very near future because they have been told there will not be a need for such an agency. And that goes along with every other agency and even our very own government. Why would they blatantly lie and risk a lifetime of building public trust and just throw it away like they did. Because they won?t need our trust or app"""
Hydrocortisone,Corticosteroid,Dermatitis,25-02-2024,360,2000,"Wayanad, Kerala",31,Low,Neutral,"""Its helped with itching and redness, put it on my brows and the bridge of my nose"""
Cephalexin,Antibiotic,Urinary Tract Infections (UTI),25-02-2024,350,2000,"Wayanad, Kerala",30,Low,Neutral,"""Have been taking this medicine for reoccurring UTIs, I take 500mg four times a day for 10 days. I have noticed that people have put mouth pain as a side effect. To be specific, with me, my tongue hurt, which I found out was 'thrush'. Easily taken care of with rinsing mouth out with colloidal silver or you can call your dentist and do what he or she recommends. I have had abdominal pain and diarrhea, however, to relieve me of the UTI, this was well worth it."""
Fluconazole,Antifungal,Vaginal Yeast Infections,25-02-2024,370,2000,"Wayanad, Kerala",29,Low,Not-Effective,"""I?ve had yeast infections in the past and this medication has made it go away with no problem at all. However, I?ve been having a yeast infection for 4 months now, yes 4 WHOLE MONTHS, and it doesn?t go away with taking this medication that my OBGYN only seems to be prescribing me. It?s nothing else but a yeast infection and Diflucan doesn?t work for me anymore. I?m going to have to try boric acid suppositories..."""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Cold,25-02-2024,430,2000,"Wayanad, Kerala",31,Low,Not-Effective,"""I'm not happy with this drug compared to paralgan, aspegic,asperine,...many others which are much more effective"""
Ciprofloxacin,Antibiotic (Fluoroquinolone),Gastrointestinal Infections,25-02-2024,380,2000,"Wayanad, Kerala",31,Low,Neutral,"""I was diagnosed with Salmonella poisoning on Tuesday. Been sick for 8 days now. Had severe nausea, diarrhea and stomach cramps. The first time I took Cipro it was ok, good enough to eat chicken noodle soup. The next morning I wasn?t able to eat (wasn?t able to eat whatsoever) so I pushed myself to eat 4 crackers and a ton of water to at least have something in my system and it made me EXTREMELY nauseous. Cipro makes me very drowsy so I was able to eventually ease the nausea and fall asleep for two hours, after that, felt fine. I also take Zofran (I have a fear of puking and being nauseous) to help ease my nausea along with Xanax for my anxiety. It is safe to mix these as there are no interactions, unless allergic. Just took my third one and I am extremely bloated. Can not get comfortable. Not sure if it?s related to my period or the cipro, either way it?s a very uncomfortable but tolerable feeling. Hoping the 4th pill I?ll be ok enough to at least eat two meals a day."""
Fluticasone/Salmeterol (Advair),Combination Inhaler,Asthma,25-02-2024,360,2000,"Wayanad, Kerala",31,Low,Neutral,"""It definitely helped me to breathe better, but puts me at risk for thrush. Once in a while I get thrush in the throat, which is annoying and I have to stop using Advair for a few days, and I struggle to breathe again about two days later. Clears up pretty quick. It?s a good idea to eat yogurt after rinsing your mouth, so now I eat yogurt all the time."""
Doxycycline,Antibiotic, Fever,25-02-2024,350,1500,"Wayanad, Kerala",20,Moderate,Effective,"""Contracted  fever jan 2015 diagnosed march 2015 after a series of blood tests. A very debillitating illness thankfully the right diagnosis plus doxycycline has helped considerably"""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Headache,05-03-2024,410,1500,"Wayanad, Kerala",30,Moderate,Neutral,"""Almost good for muscle pain"""
Hydrocortisone,Corticosteroid,Psoriasis,05-03-2024,350,1500,"Wayanad, Kerala",32,Moderate,Effective,"""Have periodic dry skin on my hands which leads to severe cracking. Understand if your issue is bacterial or fungal. Tried many fungal creams then bacterial cortisol. Works great, I use it almost every day. Hands are in great shape ( almost to soft lol)"""
chlorine dioxide.,Nutritional Formula,Severe Acute Malnutrition (SAM),10-03-2024,370,1500,"Wayanad, Kerala",26,Moderate,Neutral,"""Took care of my flu in 2 days"""
Azithromycin,Antibiotic (Macrolide),Sinusitis,10-03-2024,420,1500,"Wayanad, Kerala",24,Moderate,Effective,"""I am prone to sinus infections and usually get them with seasonal changes. Sometimes they come with ear stuffiness and usually with a fever, sore throat, and migraines. The exhaustion is the worst! With two small children, this time around, I had to get back on my feet quickly as there are no sick days. Well, Z-Pak works within hours, even on the pain of the sinus pressure! This has gotten me back to normal more times in my 34 years than I can count. I am extremely thankful for it because I have very few alternatives, being severely allergic to penicillin."""
Cephalexin,Antibiotic,Respiratory Tract Infections,10-03-2024,360,1500,"Wayanad, Kerala",32,Moderate,Neutral,"""I took this drug and it cleared up my problem in just 3 days."""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Fever,10-03-2024,450,1500,"Wayanad, Kerala",32,Moderate,Effective,"""paracetamol is the best and safe drug. its really amazing"""
Fluconazole,Antifungal,Fungal Infections (Nail),10-03-2024,420,1500,"Wayanad, Kerala",22,Moderate,Not-Effective,"""Took this fluconazole for systemic fungal infection. Took half the dose 50 mg and hours later I had a rash on my cheeks and felt like I was hit with he worst flu I?ve ever had. Extreme fatigue, chills, dizziness, nausea. Was asleep at night and woke up with an extreme panic attack and anxiety and I?m not an anxious person whatsoever and have had no issues prior with this. It felt like I was seriously not going to survive. I stopped taking it and 3 days later almost back to normal. I never write reviews but be careful with this stuff!"""
Ciprofloxacin,Antibiotic (Fluoroquinolone),Urinary Tract Infections (UTI),10-03-2024,390,1500,"Wayanad, Kerala",20,Moderate,Effective,"""I had a mild UTI that I was trying to treat naturally, but it didn't go away. So, I was forced to try an antibiotic. I was prescribed Cipro for 5 days. I had no side effects at all and felt 100% by day 3. I continued taking them through the 5th day even though all symptoms were already gone."""
Metronidazole,Antibiotic/Antiprotozoal,Amoebiasis,10-03-2024,360,1500,"Wayanad, Kerala",33,Moderate,Effective,"""This is the third time, that I have had to use this medicine. The first time, I had catastrophic diarrhea, a pharmacist said. THIS is what you need. Took one tablet, and IT WAS ALL GONE. The next time a few years later, and the same this, one tablet, and bingo. NOW, I live in Mexico, I am an American, so I don't have the stomach of a billy goat. Just got the runs again, that my tried and tested, over and over again herbal remedy wouldn't fix. Paid 50 pesos, for 30 tablets, took ONE, and I think I am good, took another one to make sure. Couldn't imagine, the bad effects that everyone is having???? puzzled !"""
Fluticasone/Salmeterol (Advair),Combination Inhaler,Asthma,10-03-2024,420,1500,"Wayanad, Kerala",32,Moderate,Not-Effective," ""Absolute garbage! I was switched over from Advair a week ago. My asthma has been completely under control for years with Advair. After one week of using this, my chest gets tight a couple of hours after using it, and I have mucus building up in my lungs that causes me to cough and hack all day. I?m actually better off just not taking any medicine at all. How did this drug get approved?"""
Hydrocortisone,Corticosteroid,Rash,10-03-2024,400,1600,"Wayanad, Kerala",30,Moderate,Effective,"""Worked wonders for my poison ivy rash. Quick relief and healing when all others failed"""
chlorine dioxide.,Nutritional Formula,Severe Acute Malnutrition (SAM),20-03-2024,420,1600,"Wayanad, Kerala",25,Moderate,Not-Effective,This doesn't work so well for me I feel so tired using this medicine
Ciprofloxacin,Antibiotic (Fluoroquinolone),Respiratory Tract Infections,20-03-2024,420,1600,"Wayanad, Kerala",32,Moderate,Not-Effective,"""Experienced diarrhea followed by muscle cramps in legs and feet. Immediately stopped the medication and will not take it again. This medication should not be legal."""
Metronidazole,Antibiotic/Antiprotozoal,Helicobacter Pylori Infection,20-03-2024,420,2500,"Wayanad, Kerala",31,High,Neutral," ""I'm on day three out of 1t day of taking a three tier medication schedule for h pylori, metronidazole, erythromyacin, and omeperazole. My doc suggested that I take one of the antibiotics, eat something, wait an hour, then take the second one. So far I?ve had no bad side effects, only a bad taste in my mouth."""
Azithromycin,Antibiotic (Macrolide),Pneumonia,22-03-2024,480,2500,"Wayanad, Kerala",21,High,Effective,"""Diagnosed with pneumonia, had no real cough, just very tired and a little short of breath sometimes. I took the first dose, terrified after reading all the stuff in here, but manned up and took it. I started to cough stuff up out of my lungs within a couple of hours. It did cause a rapid heart rate, that kind of freaked me out, but still coughing up and clearing those lungs out. I am hoping to be 100% soon."""
Hydrocortisone,Corticosteroid,Allergic Skin Reactions,22-03-2024,440,2500,"Wayanad, Kerala",31,High,Neutral,"""Helped stop the itching and went from red and starting to smell to pink and no smell within 4 applications"""
Fluticasone/Salmeterol (Advair),Combination Inhaler,COPD,22-04-2024,480,2500,"Wayanad, Kerala",31,High,Effective,"""After two weeks of using it I felt much better.I went back to my doctor for a check up and he told me my lungs were sounding better.I am very pleased with it so far. I have been on it for 4 weeks now with no side affect as of yet"""
Cephalexin,Antibiotic,Bone and Joint Infections,22-04-2024,420,2500,"Wayanad, Kerala",31,High,Not-Effective,"""I've been on Cephalexin for 5 months for a bone infection, and I have another month to go. I had a hip replacement, which became severely infected about a month later. The side effects of this are horrible. I get dry heaves at least 3 times per day, usually in an hour of taking it. Sour stomach is also another huge side effect. Extreme fatigue is another one. Being on this medicine has destroyed my sleep cycle. I wake up at 2-3 AM as I feel like I have to throw up, or my stomach just hurts. I started with intravenous injections through a PICC line for antibiotics, then it was changed to this green, nasty pill. Because of the sickness, that it creates, I have missed almost 6 months of work. I try to get up in the morning, get ready for work, and end up dry heaving into the toilet. 4 months into the use of this antibiotic, my hair is starting to fall out as well. This is a nasty medicine, but I do understand why it is needed. I really do not want my hip hardware removed."""
Fluconazole,Antifungal,Oral Thrush,22-04-2024,450,1500,"Wayanad, Kerala",27,Moderate,Effective," ""Very easy to use and works for days after swallowing the tablet. Also inexpensive!"""
Metronidazole,Antibiotic/Antiprotozoal,Pseudomembranous Colitis,05-05-2024,480,1600,"Wayanad, Kerala",35,Moderate,Neutral,"""symptoms started as going #2 bathroom over 5-10 times a day. I got flagyl/metronidazole 500mg. It generally works for intestinal bacterial infection. You take 1 tablet by mouth 3 times a day for 7 days. Manufactures please make capsule form. The tablet TASTES really BAD. Take it with soda/gatorade or something that can wash away aftertaste. The side effects I felt were; nausea and dizziness. My Doctor said drink a lot of water and have it during meals and avoid all alcohol including certain mouthwash and anything that contains alcohol."""
Cephalexin,Antibiotic,Bacterial Endocarditis,20-05-2024,480,1600,"Wayanad, Kerala",20,Moderate,Effective,"""Prescribed cephalexin 500mg four times daily for seven days. On day three, the infection is almost completely gone and I feel 10 times better than I have in a month. No side effects whatsoever. Only wish I had started earlier."""
