Drug,Drug_type,Condition,Date,Price,Location,Sales,Stock_Availability,Sentiment,Review
Aspirin,Cardiovascular Medicines,Heart Disease,30-01-2024,43,Jammu,210,Low,Not-Effective,Aspirin is helpful for heart disease but can cause gastrointestinal discomfort. It? effective but needs to be monitored.
Cetirizine,Anti-allergics and Antihistamines,Allergy,10-01-2023,44,Leh,320,High,Effective,Cetirizine provides excellent relief for allergy symptoms. It? a reliable medication that works well.
Insulin,Chronic Disease Medications,Diabetes,11-05-2023,45,Rishikesh,85,Low,Neutral,Insulin is essential but expensive. It helps manage diabetes effectively but requires regular adjustments.
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,15-09-2023,46,Haridwar,120,Medium,Neutral,Salbutamol Inhalers are useful but can be inconvenient to carry. They provide necessary relief for asthma.
Povidone-iodine,Antiseptics,Wound Care,20-08-2023,47,Gangtok,150,High,Effective,Povidone-iodine is a good antiseptic for treating wounds. It is effective and a standard choice for first aid.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,20-01-2024,48,Darjeeling,260,High,Not-Effective,Paracetamol sometimes isn? strong enough for severe headaches. It? suitable for minor pain but less effective for intense cases.
Aspirin,Cardiovascular Medicines,Heart Disease,12-05-2023,49,Shimla,190,Low,Neutral,Aspirin is beneficial for cardiovascular health but can cause some digestive issues. It? effective but has side effects.
Amoxicillin,Antibiotics,Infection,10-10-2023,50,Dehradun,240,High,Effective,Amoxicillin effectively treated my infection. It was easy to use with minimal side effects.
Cetirizine,Anti-allergics and Antihistamines,Allergy,25-09-2023,51,Guwahati,330,High,Not-Effective,Cetirizine provides relief for allergies but can sometimes cause drowsiness. It? effective but has some side effects.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,15-03-2023,52,Srinagar,220,High,Effective,Paracetamol is good for mild headaches. It works well and is a common choice for pain relief.
Insulin,Chronic Disease Medications,Diabetes,10-01-2023,53,Jammu,80,Low,Not-Effective,Insulin is essential but expensive. Managing diabetes with it can be challenging due to its cost.
Povidone-iodine,Antiseptics,Wound Care,11-05-2023,14,Leh,185,Medium,Effective,Povidone-iodine is a reliable antiseptic for minor wounds. It? effective and easy to use.
Insulin,Chronic Disease Medications,Diabetes,09-02-2023,15,Shimla,95,Low,Neutral,Insulin is a necessary medication for diabetes management but can be quite costly and requires careful monitoring.
Povidone-iodine,Antiseptics,Wound Care,01-06-2023,16,Dehradun,95,Medium,Effective,Povidone-iodine is reliable for wound care. It has been a consistent choice for first aid and antiseptic needs.
Loperamide,Gastrointestinal Medications,Diarrhea,08-02-2023,17,Guwahati,220,High,Effective,Loperamide is effective for treating diarrhea. It works well and provides quick relief.
Amoxicillin,Antibiotics,Infection,09-03-2023,18,Srinagar,225,High,Neutral,Amoxicillin is effective but caused some side effects. It worked for my infection but was not perfect.
Aspirin,Cardiovascular Medicines,Heart Disease,11-04-2023,19,Jammu,195,Low,Not-Effective,Aspirin is helpful for heart disease but can cause gastrointestinal discomfort. It? effective but needs to be monitored.
Cetirizine,Anti-allergics and Antihistamines,Allergy,11-05-2023,20,Leh,350,High,Effective,Cetirizine provides excellent relief for allergy symptoms. It? a reliable medication that works well.
Insulin,Chronic Disease Medications,Diabetes,08-06-2023,21,Rishikesh,80,Low,Neutral,Insulin is essential but expensive. It helps manage diabetes effectively but requires regular adjustments.
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,08-07-2023,22,Haridwar,110,Medium,Neutral,Salbutamol Inhalers are useful but can be inconvenient to carry. They provide necessary relief for asthma.
Povidone-iodine,Antiseptics,Wound Care,12-08-2023,23,Gangtok,195,High,Effective,Povidone-iodine is a good antiseptic for treating wounds. It is effective and a standard choice for first aid.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,11-09-2023,24,Darjeeling,215,High,Not-Effective,Paracetamol sometimes isn? strong enough for severe headaches. It? suitable for minor pain but less effective for intense cases.
Aspirin,Cardiovascular Medicines,Heart Disease,10-10-2023,25,Shimla,180,Low,Neutral,Aspirin is beneficial for cardiovascular health but can cause some digestive issues. It? effective but has side effects.
Amoxicillin,Antibiotics,Infection,08-11-2023,26,Dehradun,215,High,Effective,Amoxicillin effectively treated my infection. It was easy to use with minimal side effects.
Cetirizine,Anti-allergics and Antihistamines,Allergy,06-12-2023,27,Guwahati,270,High,Not-Effective,Cetirizine provides relief for allergies but can sometimes cause drowsiness. It? effective but has some side effects.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,13-12-2023,28,Srinagar,240,High,Effective,Paracetamol is good for mild headaches. It works well and is a common choice for pain relief.
Insulin,Chronic Disease Medications,Diabetes,13-07-2023,29,Jammu,70,Low,Not-Effective,Insulin is essential but expensive. Managing diabetes with it can be challenging due to its cost.
Povidone-iodine,Antiseptics,Wound Care,05-11-2023,30,Leh,110,Medium,Effective,Povidone-iodine is a reliable antiseptic for minor wounds. It? effective and easy to use.
Cetirizine,Anti-allergics and Antihistamines,Allergy,20-06-2023,31,Rishikesh,300,High,Not-Effective,Cetirizine worked initially but didn't provide long-term relief. Side effects were noticeable.
Cetirizine,Anti-allergics and Antihistamines,Allergy,20-03-2023,32,Rishikesh,235,High,Neutral,Cetirizine offers temporary relief from allergy symptoms but doesn't last as long as I would like.
Cetirizine,Anti-allergics and Antihistamines,Allergy,20-12-2023,33,Rishikesh,380,High,Effective,Cetirizine is very effective in treating allergy symptoms. The relief is almost immediate and long-lasting.
Cetirizine,Anti-allergics and Antihistamines,Allergy,20-02-2023,34,Rishikesh,210,High,Neutral,Cetirizine offers temporary relief from allergy symptoms but doesn't last as long as I would like.
Cetirizine,Anti-allergics and Antihistamines,Allergy,20-04-2023,35,Rishikesh,230,High,Not-Effective,Cetirizine worked initially but didn't provide long-term relief. Side effects were noticeable.
