Drug,Drug_type,Condition,Date,Price,Location,Sales,Stock_Availability,Sentiment,Review
Cetirizine,Anti-allergics and Antihistamines,Allergy,11-05-2023,20,Leh,330,High,Positive,Cetirizine provides excellent relief for allergy symptoms. It? a reliable medication that works well.
Insulin,Chronic Disease Medications,Diabetes,08-06-2023,21,Rishikesh,80,Low,Neutral,Insulin is essential but expensive. It helps manage diabetes effectively but requires regular adjustments.
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,08-07-2023,22,Haridwar,140,Medium,Neutral,Salbutamol Inhalers are useful but can be inconvenient to carry. They provide necessary relief for asthma.
Povidone-iodine,Antiseptics,Wound Care,12-08-2023,23,Gangtok,180,High,Positive,Povidone-iodine is a good antiseptic for treating wounds. It is effective and a standard choice for first aid.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,11-09-2023,24,Darjeeling,245,High,Negative,Paracetamol sometimes isn? strong enough for severe headaches. It? suitable for minor pain but less effective for intense cases.
Aspirin,Cardiovascular Medicines,Heart Disease,10-10-2023,25,Shimla,190,Low,Neutral,Aspirin is beneficial for cardiovascular health but can cause some digestive issues. It? effective but has side effects.
Amoxicillin,Antibiotics,Infection,08-11-2023,26,Dehradun,240,High,Positive,Amoxicillin effectively treated my infection. It was easy to use with minimal side effects.
Cetirizine,Anti-allergics and Antihistamines,Allergy,06-12-2023,27,Guwahati,320,High,Negative,Cetirizine provides relief for allergies but can sometimes cause drowsiness. It? effective but has some side effects.
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,12/13/2023,28,Srinagar,240,High,Positive,Paracetamol is good for mild headaches. It works well and is a common choice for pain relief.
Insulin,Chronic Disease Medications,Diabetes,7/13/2023,29,Jammu,90,Low,Negative,Insulin is essential but expensive. Managing diabetes with it can be challenging due to its cost.
Povidone-iodine,Antiseptics,Wound Care,05-11-2023,30,Leh,170,Medium,Positive,Povidone-iodine is a reliable antiseptic for minor wounds. It? effective and easy to use.
Cetirizine,Anti-allergics and Antihistamines,Allergy,6/20/2023,31,Rishikesh,290,High,Negative,Cetirizine worked initially but didn't provide long-term relief. Side effects were noticeable.
Cetirizine,Anti-allergics and Antihistamines,Allergy,3/20/2023,32,Rishikesh,290,High,Neutral,Cetirizine offers temporary relief from allergy symptoms but doesn't last as long as I would like.
Cetirizine,Anti-allergics and Antihistamines,Allergy,12/20/2023,33,Rishikesh,290,High,Positive,Cetirizine is very effective in treating allergy symptoms. The relief is almost immediate and long-lasting.
Cetirizine,Anti-allergics and Antihistamines,Allergy,2/20/2023,34,Rishikesh,290,High,Neutral,Cetirizine offers temporary relief from allergy symptoms but doesn't last as long as I would like.
Cetirizine,Anti-allergics and Antihistamines,Allergy,4/20/2023,35,Rishikesh,290,High,Negative,Cetirizine worked initially but didn't provide long-term relief. Side effects were noticeable.
